Tag_A,Attr_A_Name,Attr_A_Value,Relationship,Rel_Att_Name_1,Rel_Att_Value_1,Rel_Att_Name_2,Rel_Att_Value_2,Tag_B,Attr_B_Name,Attr_B_Value
IHO_Sea_Area,Name,Bay of Bengal,Part_of,,,,,IHO_Sea_Area,Name,Indian Ocean
IHO_Sea_Area,Name,Andaman Sea,Part_of,,,,,IHO_Sea_Area,Name,Indian Ocean
IHO_Sea_Area,Name,Malacca Strait,Part_of,,,,,IHO_Sea_Area,Name,Indian Ocean
IHO_Sea_Area,Name,Great Australian Bight,Part_of,,,,,IHO_Sea_Area,Name,Indian Ocean
IHO_Sea_Area,Name,Mediterranean Sea - Western Basin,Part_of,,,,,IHO_Sea_Area,Name,Mediterranean Sea
IHO_Sea_Area,Name,Mediterranean Sea - Eastern Basin,Part_of,,,,,IHO_Sea_Area,Name,Mediterranean Sea
IHO_Sea_Area,Name,Inner Seas off the West Coast of Scotland,Part_of,,,,,IHO_Sea_Area,Name,North Atlantic Ocean
Sea,Name,Canarias Sea,Part_of,,,,,IHO_Sea_Area,Name,North Atlantic Ocean
IHO_Sea_Area,Name,Gulf of Guinea,Part_of,,,,,IHO_Sea_Area,Name,North Atlantic Ocean
IHO_Sea_Area,Name,Caribbean Sea,Part_of,,,,,IHO_Sea_Area,Name,North Atlantic Ocean
IHO_Sea_Area,Name,Gulf of Mexico,Part_of,,,,,IHO_Sea_Area,Name,North Atlantic Ocean
IHO_Sea_Area,Name,Gulf of Saint Lawrence,Part_of,,,,,IHO_Sea_Area,Name,North Atlantic Ocean
IHO_Sea_Area,Name,Labrador Sea,Part_of,,,,,IHO_Sea_Area,Name,North Atlantic Ocean
IHO_Sea_Area,Name,Philippine Sea,Part_of,,,,,IHO_Sea_Area,Name,North Pacific Ocean
Strait,Name,Formosa Strait,Part_of,,,,,IHO_Sea_Area,Name,North Pacific Ocean
IHO_Sea_Area,Name,Eastern China Sea,Part_of,,,,,IHO_Sea_Area,Name,North Pacific Ocean
IHO_Sea_Area,Name,Yellow Sea,Part_of,,,,,IHO_Sea_Area,Name,North Pacific Ocean
Sea,Name,Bo Sea,Part_of,,,,,IHO_Sea_Area,Name,Yellow Sea
IHO_Sea_Area,Name,Inland Sea,Part_of,,,,,IHO_Sea_Area,Name,Japan Sea
IHO_Sea_Area,Name,Japan Sea,Part_of,,,,,IHO_Sea_Area,Name,North Pacific Ocean
IHO_Sea_Area,Name,Sea of Okhotsk,Part_of,,,,,IHO_Sea_Area,Name,North Pacific Ocean
IHO_Sea_Area,Name,Bering Sea,Part_of,,,,,IHO_Sea_Area,Name,North Pacific Ocean
IHO_Sea_Area,Name,Gulf of Alaska,Part_of,,,,,IHO_Sea_Area,Name,North Pacific Ocean
